phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,parallax_over_error,ag_gspphot,teff_gspphot,logg_gspphot
13.572958,14.894592,12.323137,23.556962038924652,0.04868834,483.8317,,,
11.44673,11.89383,10.483226,10.33784714533846,0.15531161,66.56197,,,
9.221049,9.684831,8.587887,16.555786986545616,0.5671209,29.192694,0.003,4851.232,4.1888
16.046406,17.736328,14.79866,11.470166476167565,0.05320491,215.58473,,,
14.17834,15.430747,13.07273,15.044889824466608,0.024611913,611.28485,,,
13.909738,15.053296,12.85071,10.119379072960843,0.024488322,413.23285,0.4463,3696.5957,4.6229
16.609861,18.335455,15.359925,10.490385977730028,0.06305519,166.36832,0.635,3281.7944,4.9963
15.411936,16.914156,14.220071,12.865316087307539,0.10420196,123.4652,,,
15.169744,16.688868,13.97078,13.416266924093755,0.032287687,415.5227,,,
12.265187,13.152655,11.336105,15.023891590973662,0.020314945,739.54877,,,
15.1824,16.286049,13.546422,10.672769680890813,0.47102368,22.65867,,,
16.254719,17.907236,15.025629,14.131365648969743,0.051249333,275.73755,,,
10.049926,10.430122,9.504001,11.053705373552988,0.016669419,663.1128,0.0594,5461.205,4.4819
15.307306,16.714058,14.141823,12.115598391757919,0.03788531,319.79675,,,
14.278472,15.402413,13.226875,10.411629038745104,0.022769868,457.2547,0.4314,3713.0986,4.7763
18.908125,21.218847,17.453932,10.804380808094947,0.28435433,37.99619,0.004,2729.7021,5.1313
9.283201,9.652445,8.746296,14.360832096563167,0.018035749,796.2426,0.0831,5566.248,4.4849
14.770724,15.995176,13.344002,22.199456178901727,0.06823902,325.31912,,,
19.01525,19.515896,18.406694,12.636797610780103,0.26178575,48.271526,,,
8.811068,9.227636,8.225258,24.391234431242815,0.021046592,1158.9161,0.0,5131.256,4.5311
10.182193,10.695597,9.512501,11.36432229695038,0.022324786,509.0451,0.0431,4673.289,4.2086
18.493837,21.075,17.001816,14.705010021410363,0.23304139,63.10042,0.0045,2668.6008,5.1027
18.188194,20.526115,16.81006,10.467223706710335,0.23435849,44.6633,0.4159,2939.1816,5.0293
14.536162,15.779781,13.430838,11.453244357334999,0.024543354,466.6536,0.4575,3583.587,4.7872
8.123956,8.366055,7.7135,13.461546238651588,0.029480692,456.62247,4.0E-4,6212.335,4.1635
13.924879,15.101183,12.842368,10.997707009248327,0.027540851,399.32343,,,
16.843243,18.968903,15.499133,12.731229489204816,0.08554278,148.8288,,,
9.539398,9.910283,8.99702,14.478496963974191,0.018642358,776.6451,0.057,5474.4155,4.5113
14.632577,15.9539795,13.493855,10.6069856414746,0.029255651,362.56192,0.4179,3487.4224,4.6624
15.621156,16.975227,14.476871,11.936288464049776,0.03807766,313.47223,0.4284,3419.6287,4.8122
11.507427,12.428941,10.557979,22.054637181893586,0.018159194,1214.5162,8.0E-4,3609.0396,4.0451
9.740814,10.121807,9.190049,12.407380049928177,0.035290204,351.58142,0.1728,5616.274,4.5341
20.310963,20.845238,19.58002,10.760002199797915,0.6589615,16.328726,,,
13.220235,14.906752,11.963642,30.285432033716095,0.01973977,1534.2343,,,
20.85309,21.44242,19.57481,10.081359936788939,3.0958462,3.2564151,,,
12.27583,13.02478,11.436752,10.054640267942148,0.015697742,640.515,,,
11.035399,11.739787,10.223687,17.64675233195837,0.018571133,950.2249,,,
10.20327,10.762796,9.495622,17.93778669320784,0.016913285,1060.5739,3.0E-4,4571.5054,4.5436
15.171787,17.054539,13.862657,19.62998131986827,0.061918,317.0319,,,
15.021885,14.993044,15.107189,24.098115357753688,0.030627556,786.8116,,,
13.6313505,15.692197,12.284487,24.866681023215587,0.06810178,365.13995,,,
20.884874,22.012554,19.662876,10.23524405046658,2.378075,4.304004,,,
15.897949,17.171913,14.590196,11.44500261916472,0.059210587,193.29317,,,
14.282128,15.344069,13.26044,10.53846606796433,0.023697097,444.71548,,,
10.053564,10.411795,9.52634,10.081929310970576,0.01616854,623.5522,0.0868,5636.954,4.5069
11.280926,12.528358,10.171615,49.532858167711204,0.035710838,1387.054,,,
14.225954,15.712801,13.024808,13.10205259692611,0.027958186,468.63028,0.3664,3402.3281,4.7053
6.3827343,6.4536476,6.2369595,14.277813658762732,0.032969285,433.0641,0.0026,8037.899,4.2503
15.613451,17.136621,14.412845,13.384268324612647,0.046969604,284.95596,,,
12.815252,13.931251,11.767014,17.6134628571068,0.021834869,806.66675,,,
16.215954,18.11012,14.913903,12.318159712825222,0.057060517,215.87886,,,
16.243803,17.950327,14.983665,11.597398436108545,0.052651264,220.26819,,,
14.427534,,,10.445044820105368,0.08936083,116.88616,,,
13.363241,14.645529,12.2412815,17.628160855818276,0.015336572,1149.4198,,,
5.984928,6.166192,5.6594515,22.850537135218378,0.028883275,791.1339,0.0,6738.1226,4.047
15.09831,16.72092,13.871618,17.222783736916753,0.03315736,519.42566,,,
12.35785,13.380202,11.351402,11.88240067015107,0.12755294,93.156624,0.4822,4000.3894,4.3925
14.662538,15.976441,13.531157,10.787522304192269,0.027004614,399.4696,0.46,3539.0505,4.7763
12.6925535,13.934665,11.58444,22.560717858850875,0.02530618,891.5102,,,
15.351451,16.721207,14.117048,12.628630266755144,0.040515784,311.69656,,,
18.568436,20.976318,17.109072,11.35831374671225,0.24795477,45.808006,,,
15.243222,16.119984,14.3215475,11.701785709267005,0.035599858,328.70316,0.12,3781.6372,5.1116
16.12025,17.583452,14.892835,11.88455510927291,0.049938995,237.98146,,,
18.02449,20.653994,16.572838,14.878646891269529,0.1740087,85.505196,,,
13.841202,15.57115,12.581882,21.87325614936264,0.029881796,731.9927,,,
13.68821,14.826689,12.573862,10.54914131302068,0.17229041,61.228832,,,
11.140319,11.794003,10.295756,14.173739333871872,0.21645074,65.48252,,,
18.098007,20.632668,16.675083,12.872536870309924,0.18613991,69.155174,,,
8.776985,9.221479,8.165739,25.635606553181134,0.021729179,1179.778,0.0,5011.108,4.5259
14.416343,15.610577,13.3332,13.338863532480483,0.024296243,549.00934,0.4491,3618.9119,4.8971
12.847304,14.228652,11.685676,21.031458216917265,0.022780646,923.21606,,,
12.050833,12.781098,11.224048,10.325268761737432,0.015584169,662.5486,0.3174,4507.1626,4.6234
16.888832,18.993254,15.546805,14.314074435223962,0.06944288,206.12732,,,
13.990629,15.446304,12.80681,19.05424038386912,0.02335565,815.83,,,
