,Apparent G magnitude,Blue photometer magnitude,Red photometer magnitude,Parallax,Parallax error,Parallax over error,Extinction in G band,Effective temperature,Surface gravity,Distance,Color index,Absolute visual magnitude,Absolute magnitude,Log luminosity,Spectral class
11911,14.221295,15.422227,13.120318,11.701578372073048,0.020974612,557.89246,0.4455,3649.134,4.8086,85.45855680346483,2.301909,10.023607893819392,9.117017228409921,-1.7828068913639683,M
11912,15.207977,16.50886,14.082103,11.902370171274542,0.030979369,384.20312,0.4957,3529.679,4.9566,84.01687946266563,2.4267569999999985,11.095122517702553,10.090444264865667,-2.172177705946267,M
11913,15.173779,16.67292,13.982881,10.325783929912305,0.032319084,319.49493,0.5361,3441.116,4.824,96.8449472492974,2.6900390000000005,10.943066693955402,9.707294165327966,-2.0189176661311863,M
11915,10.189474,10.591195,9.61919,12.047377516709735,0.020187397,596.77716,0.0589,5307.494,4.5373,83.00561666744468,0.9720050000000011,5.717052824658836,5.535036598050507,-0.35001463922020265,G
11916,10.429278,10.899767,9.783945,12.635863646025127,0.015911488,794.13464,0.0561,4845.826,4.416,79.13982201877991,1.1158220000000014,6.116491365810056,5.8812026538695825,-0.488481061547833,K
11921,8.263748,8.550223,7.807502,11.459552111157192,0.018668171,613.8551,0.0236,5935.6396,4.0472,87.26344540345386,0.7427210000000004,3.6518643779463265,3.535986219285064,0.4496055122859744,G
11922,7.6368628,8.0173025,7.085686,35.54628784442001,0.020725239,1715.1207,0.0,5281.7354,4.4733,28.13233281564669,0.9316164999999996,5.565146847321293,5.390834066839179,-0.2923336267356717,G
11928,16.420248,18.093908,15.177058,10.704312917038523,0.054360725,196.91263,0.6496,3304.111,4.9829,93.42028841554662,2.9168499999999984,12.364679583642214,10.918441981265211,-2.5033767925060846,M
11930,11.384424,11.958143,10.6655655,11.148682444449683,0.02605467,427.89575,0.1103,4648.628,4.5964,89.69669779210952,1.2925775000000002,6.815053850290127,6.510241726644843,-0.740096690657937,K
11931,5.8008265,6.274674,5.162101,16.936726477590206,0.03696961,458.12567,0.0798,4965.123,3.1534,59.04328686674771,1.1125730000000003,2.096816315590136,1.8651738693771538,1.1179304522491387,K
11932,10.22051,10.570202,9.529712,12.717924770451708,0.020144891,631.32263,0.0018,4947.312,4.4776,78.6291803143354,1.0404900000000001,5.952858706925785,5.740791258500465,-0.43231650340018607,K
11935,15.261226,16.649817,14.108658,10.860351549340898,0.036599383,296.73593,0.5226,3494.3137,4.9074,92.07805064659154,2.5411589999999986,11.019054874416245,9.917845417915974,-2.1031381671663896,M
11936,10.697676,11.296637,9.964358,16.010676936572438,0.01328522,1205.1495,0.0275,4600.5054,4.5966,62.45832102924686,1.3322789999999998,7.023638248250865,6.692224472089606,-0.8128897888358424,K
11937,17.121443,18.970999,15.833937,10.000896387614292,0.07647843,130.76755,0.6863,3206.113,5.0172,99.99103692729582,3.1370619999999985,13.11031644888116,11.435337639373781,-2.7101350557495127,M
11941,16.492655,17.763485,15.2269945,10.013521253163642,0.06233996,160.62764,0.4206,3345.1748,5.0319,99.86497004578314,2.5364904999999993,12.182260843048137,11.074989119616706,-2.5659956478466825,M
11944,6.9678736,7.1443324,6.6467876,14.576956223095518,0.028855538,505.17014,0.0007,6775.189,4.0455,68.60142712204997,0.4975448,2.84932680838695,2.7855078476481303,0.7497968609407479,F
11947,13.447732,14.956925,12.252279,34.78060427996419,0.018364033,1893.9524,0.0001,3054.6855,4.4417,28.751656870322485,2.7046460000000003,12.457438536948558,11.154317615931824,-2.5977270463727296,M
11949,10.546177,11.003745,9.922787,12.629815380238249,0.01934276,652.94794,0.0972,5056.259,4.565,79.17772112209101,1.0809580000000008,6.17363642105277,5.955962010920043,-0.5183848043680171,K
11950,7.780698,8.088473,7.3021936,18.23576304932832,0.022915183,795.79395,0.0001,5748.3086,4.2598,54.83729950290362,0.7862794000000006,4.2152799320505,4.085217702295994,0.2299129190816025,G
