source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,distance_pc
76330712836034688,12.092107963406544,0.3647933,14.129148,2.5514193,82.69856695178593
76364832056171136,14.028315605873273,0.01644278,11.652338,1.552063,71.28439565341168
77631946192345088,38.22723696402016,0.022474559,13.192007,3.1077757,26.159358599241937
77852089036364416,10.024027392198118,0.015610209,12.379098,1.5821095,99.76030200978083
78434662695474560,16.448938603932895,0.041441992,13.857842,2.5058222,60.79419615323403
78519222011790592,11.063486803100094,0.17307226,10.414402,1.0878763,90.38741743875813
78764310025412608,14.853590625842136,0.04794685,15.00449,2.9167624,67.32378892011535
78884053713485440,10.648771967252825,0.12946692,17.10953,3.24796,93.90754192832814
79533830726009984,12.563695766105937,0.05060087,15.8912325,3.0260353,79.5944138266845
81257379626498944,21.81202734461328,0.025471674,14.619333,2.6069736,45.84626564971554
82126818445886848,25.715347151103447,0.02084228,12.177283,2.2957258,38.887283695763365
84929374801602432,13.299852455127777,0.07428429,16.910397,3.1209383,75.18880403928456
84991634647734272,10.783472150629542,0.07004972,15.347445,2.6190815,92.73450944477283
85353442692519680,10.123663810259682,0.018348744,13.216934,1.9412241,98.77846782965712
85469849190835968,12.421853640866361,0.17346352,18.267761,0.58201027,80.50328307766594
85581522635847424,12.205405841772246,0.0746354,16.617395,3.4095879,81.93090938259193
86101351117396736,19.17220096994979,0.031240018,14.5351515,2.7091284,52.158852370021805
86713710374613120,11.994314766757787,0.019138124,12.571564,1.8403664,83.37283283339349
86771709612968832,13.323860874556772,0.052513555,15.530972,2.908968,75.05332046130853
86794314025732224,11.03860998905473,0.2459806,18.16888,3.4013348,90.59111618143446
89241831204413952,15.666069161468508,0.017773569,13.189694,2.4744158,63.83222170750725
89294191150313984,10.005433801350714,0.0945194,17.298418,3.326375,99.94569149665475
89618276497938304,26.671981088532,0.02813797,12.961257,2.5818348,37.492528083336275
90249052574827392,10.766632295704381,0.032587964,15.355873,2.4207487,92.87955346993462
90596223371178496,19.599376771862776,0.029852381,14.430758,2.4725418,51.02203052882877
91033691560183936,12.87214848757054,0.027361667,11.223083,1.2695026,77.68710879660911
91435253822449664,12.510584456628076,0.15310982,17.352764,3.8439522,79.9323167887814
91652235570328960,10.570338757893271,0.016028566,12.462745,1.7132502,94.60434740119017
92242604594919296,15.09199355875806,0.065886416,16.759466,3.330677,66.26029862169456
92327404429225216,19.45865109092478,0.024890471,14.023648,2.6779938,51.39102373166992
93374345657229824,10.798860028536987,0.025947899,14.580279,2.4802551,92.60236704220699
95178369360562176,11.33180585121612,0.017411048,12.572568,2.0428352,88.24718788247513
95475340579262720,11.779223163894189,0.01785375,13.633652,2.143466,84.89524190909394
96049113850283648,19.813749661174146,0.06149536,16.140848,3.256834,50.47000275568945
96392264557345408,14.904887455635931,0.016904937,13.100853,2.22305,67.09208660424159
96974073711792128,16.811821362685418,0.37143075,9.089438,0.9085989,59.481954895115905
98105746054469888,13.061127371053283,0.032499205,15.057437,2.6560316,76.56306929647202
98381792193298176,10.340590958747523,0.26281354,18.864565,0.4095478,96.70627181651157
99851465577379200,18.58913995105888,0.01632753,13.541347,2.3001156,53.79485025303916
99898469699469056,12.028485507571599,0.044543184,13.587076,2.1226501,83.13598577065481
100408883612899456,12.398374005333574,0.03572008,15.154528,2.575718,80.65573756444326
100618924693415296,14.100251603831632,0.023518289,14.106505,2.3527975,70.92072028900945
100668677594628224,12.525481302399035,0.020124512,14.1057,2.4023914,79.83725142829184
100695959226861184,14.156128141806963,0.040216852,13.591267,2.3927908,70.6407846822694
101092397592994560,10.280278472062298,0.08899504,16.604765,3.1812925,97.27362957312894
101283025421728000,16.14293051300074,0.060297847,14.864278,2.9063206,61.946621104182306
101950124037175808,10.253206502956575,0.017631264,12.817877,1.6545639,97.53046519755979
102541764372179968,15.091846253922888,0.041160773,15.705747,2.927782,66.26094535915814
102893436294343936,11.910553135042258,0.035746574,15.181494,2.5569534,83.95915694778957
103370486902007680,11.529814804683793,0.017856121,12.25993,1.6948414,86.73166195121944
103890830779591040,11.383485540870174,0.056255076,16.383352,2.9830217,87.84655599637703
104480027277776896,14.204925702736004,0.34875715,18.205221,4.2020187,70.39811547957555
105026695010546048,10.44517582599178,0.016490374,10.644624,1.0217438,95.7379767137667
105345037986621312,14.693241418974004,0.055683624,14.503848,,68.05850196598946
106889061549798784,22.871266287242104,0.026194818,14.140624,2.950941,43.722983565532324
106959116760520448,18.861755204125657,0.020137832,12.005932,2.0982323,53.01733529980649
107708025913861504,15.627799810184333,0.07078941,16.82296,3.332221,63.988534032047134
108060071497364480,10.829862784956422,0.024427462,8.66008,0.8287382,92.33727332068167
108160882969858176,11.122616645867923,0.16128194,16.831541,3.4533005,89.90690157171804
108378968524642176,23.320405313399085,0.031668864,14.522074,2.69835,42.88090136346966
108482734934469760,19.092532749955694,0.060144797,16.56747,3.490758,52.37649782228712
108733664104071808,11.30087922400045,0.022109006,14.575093,2.5761347,88.48869014335023
109247788869176448,20.09053542821125,0.092380434,17.359905,0.7276249,49.774681395289946
109669550362192128,10.232520740593843,0.13823555,17.891544,3.411747,97.7276299116463
111007282353536128,16.826977443453252,0.02322442,8.79412,0.87119484,59.42837941992147
111411696473373696,14.523772952957826,0.022761064,13.494202,2.5290298,68.85263238684449
111774191712070144,28.759565413620965,0.021170331,13.3317795,2.5437632,34.77104002157087
111867233587696384,13.578872155816962,0.019366933,11.35752,1.739399,73.64381875939651
112326868106660224,15.180836594660116,0.025211412,14.135624,2.7574463,65.87252249008145
113081133080303872,17.83547060351557,0.044885535,15.776393,3.2041073,56.06804677208174
114784860707754880,18.62464159079306,0.09389358,11.204838,1.9521055,53.69230839289502
114785234368723456,19.318474195852016,0.018266313,10.945886,1.5866613,51.76392244345653
115250641320695936,10.714367647873914,0.044245392,15.143432,2.545083,93.33261960620077
